sl no,gender,faculty,Enter Your Location,kind of books preffered for study,How Frequently do you visit library,For what Purposes do yo visit library,Average Time spent in collage,What is general Purposes,Which one is your Prefered location ,What is your preferred time?,Preferred language for Learning,Preferred type for reading,Do you enjoy the Reading,Which mode of learning /,Dose Covid Pandemic Ch,How do you study before collage,How do you study after Collage,Do you aware about Nati,Do you Using National di,Dose Covid 19 Pandemic Affected Your Reading Habits,Do you purchase Books from store,Average Expenditure on books,Occupation Of Father,Parents Education,Select your Faculty,Enter your Location,Preferred Language for Learning,Do you Using National dig
16,Female,Science,Rural,Text Books,Once in a week,For Reading Novels and,s Less than an hour,For career development,Class Room,Evening,English,Stories and novels,Enjoyable,Hard copy of Reading ma,No,Reading books in library a,Reading soft copy of boo k,Yes,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
17,Female,Science,Urban,Lecture Videos,2-3 times in a week,For Reading Novels and,s 2-4 hours,To get the knowledge and,Central Library,Morning,English,Others,Enjoyable,Hard copy of Reading ma,No,Watching Lecture Videos,Reading books in library a,No,No,No - Not Affected,Yes,Less Than Rs. 500,Job,Educated,Science,Rural,English,No
18,Male,Science,Rural,Reference Books,2-3 times in a week,For Reading Novels and,g Less than an hour,To increase General Kno,w Home,Morning,English,Competitive books,Very much,Hard copy of Reading ma,No,Reading soft copy of boo k,a,Yes,Yes,Yes - Positively Affected,Yes,Above Rs. 2000,Job,Educated,Science,Rural,English,No
19,Male,other,Urban,Reference Books,Once in a week,For Reading Novels and,s Less than an hour,For career development,Home,Afternoon,Marathi,New paper,Enjoyable,Hard copy of Reading ma,Yes,Reading soft copy of boo k,Reading soft copy of boo k,Yes,Yes,Yes - Positively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No
20,Male,Arts,Rural,Reference Books,2-3 times in a week,For Reading Novels and,s Less than an hour,To get the knowledge and,Campus Ground,Evening,Marathi,New paper,Enjoyable,Hard copy of Reading ma,No,Watching Lecture Videos,Watching Lecture Videos,No,No,No - Not Affected,Yes,Less Than Rs. 500,Job,Educated,Science,Rural,English,No
21,Male,Science,Rural,Reference Books,Daily,For Reading Novels and,g Less than an hour,To increase General Kno,w Campus Ground,Morning,English,Magazines,Just okay,Hard copy of Reading ma,No,Reading soft copy of boo k,Watching Lecture Videos,Yes,No,Yes - Positively Affected,Yes,Above Rs. 2000,Farmer,Un-Educated,Science,Rural,English,No
22,Male,Science,Rural,Reference Books,Rarely,For Reading Novels and,g Less than an hour,To be well informed,Home,Morning,Marathi,Stories and novels,Enjoyable,Hard copy of Reading ma,Yes,a,Reading soft copy of boo k,No,No,Yes- Negatively Affected,No,Less Than Rs. 500,Job,Educated,Science,Rural,English,No
23,Female,Arts,Urban,Reference Books,Daily,For Reading Novels and,g 2-4 hours,To get the knowledge and,Home,Late Night,Marathi,Stories and novels,Very much,Hard copy of Reading ma,Yes,a,a,Yes,Yes,Yes - Positively Affected,Yes,Rs. 500 to Rs. 2000,Job,Educated,Science,Rural,English,No
24,Female,Science,Rural,Class Notes,2-3 times in a week,For Reading Novels and,s 2-4 hours,To get the knowledge and,Central Library,Late Night,English,Competitive books,Very much,Hard copy of Reading ma,Yes,a,a,Yes,No,Yes - Positively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
25,Female,Commerce,Urban,Class Notes,Once in a week,For Reading Novels and,g Less than an hour,For career development,Home,Late Night,English,Competitive books,Very much,soft copy of Reading mat,No,a,a,No,Yes,Yes - Positively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
26,Female,Science,Rural,Class Notes,Once in a week,For Reading Novels and,s 2-4 hours,For career development,College lab,Morning,English,New paper,Enjoyable,soft copy of Reading mat,Yes,Reading soft copy of boo k,Reading soft copy of boo k,Yes,Yes,Yes - Positively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
27,Female,Science,Rural,Class Notes,Once in a month,For Reading Novels and,s Less than an hour,For career development,Central Library,Evening,Marathi,Stories and novels,Enjoyable,Academic Videos,Yes,a,Reading soft copy of boo k,Yes,No,Yes- Negatively Affected,No,Less Than Rs. 500,Worker,Educated,Science,Rural,English,No
28,Female,Science,Rural,Text Books,Once in a week,To Complete Assignment,Less than an hour,To get the knowledge and,Home,Late Night,Marathi,Stories and novels,Just okay,soft copy of Reading mat,Yes,Watching Lecture Videos,Watching Lecture Videos,Yes,No,Yes- Negatively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
29,Female,Science,Rural,Class Notes,Rarely,For Reading Novels and,g Less than an hour,To pass the examination,Home,Morning,Marathi,Journal articles,Very much,Hard copy of Reading ma,No,Reading soft copy of boo k,Reading soft copy of boo k,No,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
30,Female,Science,Rural,Reference Books,2-3 times in a week,For Reading Novels and,s 2-4 hours,To get the knowledge and,Home,Evening,English,Reference books,Enjoyable,Hard copy of Reading ma,Yes,a,Reading soft copy of boo k,No,No,Yes- Negatively Affected,No,Less Than Rs. 500,Business,Un-Educated,Science,Rural,English,No
31,Female,Science,Urban,Reference Books,2-3 times in a week,For Reading Novels and,g Less than an hour,To increase General Kno,w Other places,Late Night,Marathi,New paper,Very much,Hard copy of Reading ma,Yes,a,Reading soft copy of boo k,Yes,No,Yes- Negatively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No
32,Female,Science,Urban,Class Notes,Rarely,For Reading Novels and,s Less than an hour,To get the knowledge and,Home,Late Night,English,Stories and novels,Enjoyable,Hard copy of Reading ma,Yes,Reading soft copy of boo k,Reading soft copy of boo k,No,No,Yes - Positively Affected,Yes,Rs. 500 to Rs. 2000,Job,Educated,Science,Rural,English,No
33,Female,Science,Urban,Lecture Videos,Once in a week,For Reading Novels and,s Less than an hour,To get the knowledge and,Home,Morning,Marathi,Stories and novels,Enjoyable,Hard copy of Reading ma,Yes,Reading soft copy of boo k,a,Yes,No,Yes - Positively Affected,Yes,Rs. 500 to Rs. 2000,Business,Educated,Science,Rural,English,No
34,Female,Science,Rural,Text Books,Once in a week,To read Daily News pape,Less than an hour,To get the knowledge and,Central Library,Evening,Hindi,Competitive books,Very much,Academic Videos,Yes,Reading soft copy of boo k,Reading soft copy of boo k,No,No,Yes- Negatively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Un-Educated,Science,Rural,English,No
35,Male,Science,Urban,Other,2-3 times in a week,For Reading Novels and,s 2-4 hours,To get the knowledge and,Park or Garden,Afternoon,Hindi,New paper,Very much,soft copy of Reading mat,No,Reading soft copy of boo k,Reading soft copy of boo k,No,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Job,Educated,Science,Rural,English,No
36,Female,Science,Rural,Class Notes,2-3 times in a week,For Reading Novels and,g Less than an hour,To get the knowledge and,Central Library,Late Night,English,New paper,Very much,soft copy of Reading mat,Yes,a,Watching Lecture Videos,Yes,No,Yes- Negatively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
37,Female,Science,Rural,Class Notes,Once in a week,To borrow library material,s Less than an hour,To get the knowledge and,Home,Morning,English,Reference books,Enjoyable,Hard copy of Reading ma,Yes,Reading books in library a,Reading soft copy of boo k,Yes,Yes,Yes - Positively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
38,Female,Science,Urban,Reference Books,2-3 times in a week,To borrow library material,s Less than an hour,To get the knowledge and,Home,Late Night,English,Stories and novels,Very much,Hard copy of Reading ma,No,Reading books in library a,Reading soft copy of boo k,No,No,"Yes, In some way",No,Less Than Rs. 500,Worker,Educated,Science,Rural,English,No
39,Female,Science,Rural,Reference Books,Daily,For Reading Novels and,g 2-4 hours,To get the knowledge and,College lab,Morning,English,Reference books,Enjoyable,Hard copy of Reading ma,Yes,Reading books in library a,Reading books in library a,Yes,No,Yes - Positively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No
40,Male,Science,Rural,Class Notes,Once in a week,To read Daily News pape r,Less than an hour,To get the knowledge and,Home,Late Night,Marathi,Stories and novels,Enjoyable,Hard copy of Reading ma,Yes,Reading books in library a,Reading soft copy of boo k,Yes,No,Yes - Positively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Un-Educated,Science,Rural,English,No
41,Male,Science,Rural,Class Notes,Once in a week,For Reading Novels and,g Less than an hour,To get the knowledge and,College lab,Morning,English,Others,Very much,soft copy of Reading mat e,No,Watching Lecture Videos,Watching Lecture Videos,No,Yes,No - Not Affected,Yes,Less Than Rs. 500,Worker,Educated,Science,Rural,English,No
42,Male,Science,Rural,Text Books,2-3 times in a week,To borrow library material,s 2-4 hours,To pass the examination,College lab,Late Night,English,Reference books,Enjoyable,soft copy of Reading mat e,No,Reading soft copy of boo k,Reading soft copy of boo k,Yes,Yes,Yes - Positively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
43,Male,Science,Urban,Text Books,Once in a week,To read Daily News pape r,Less than an hour,To increase General Kno,w Home,Morning,English,Stories and novels,Enjoyable,soft copy of Reading mat e,Yes,Reading soft copy of boo k,Reading books in library a,Yes,Yes,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
44,Male,Science,Urban,Class Notes,Once in a week,For Reading Novels and,g Less than an hour,To get the knowledge and,College lab,Morning,Marathi,Journal articles,Enjoyable,Hard copy of Reading ma,Yes,Reading books in library a,Reading books in library a,Yes,Yes,Yes - Positively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No
45,Male,Science,Rural,Class Notes,Once in a month,For Reading Novels and,g Less than an hour,For career development,Central Library,Morning,English,New paper,Enjoyable,Hard copy of Reading ma,Yes,Watching Lecture Videos,Reading soft copy of boo k,Yes,Yes,Yes - Positively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
46,Male,Science,Rural,Class Notes,2-3 times in a week,To read Daily News pape r,Less than an hour,To prepare class Assignm,Class Room,Morning,English,New paper,Enjoyable,Hard copy of Reading ma,No,Reading soft copy of boo k,Reading soft copy of boo k,Yes,Yes,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
47,Male,Science,Urban,Reference Books,Once in a month,To borrow library material,s Less than an hour,To increase General Kno,w College lab,Morning,English,Reference books,Very much,Hard copy of Reading ma,Yes,Reading soft copy of boo k,Reading soft copy of boo k,No,No,Yes- Negatively Affected,No,Less Than Rs. 500,Job,Educated,Science,Rural,English,No
48,Female,Science,Urban,Reference Books,Once in a month,To borrow library material,s Less than an hour,For career development,Home,Morning,English,Stories and novels,Very much,Academic Videos,Yes,Reading books in library a,Watching Lecture Videos,No,No,Yes- Negatively Affected,Yes,Less Than Rs. 500,Job,Un-Educated,Science,Rural,English,No
49,Female,Science,Rural,Text Books,2-3 times in a week,To photo copy reading m,a 2-4 hours,To get the knowledge and,Central Library,Morning,English,Reference books,Enjoyable,soft copy of Reading mat e,Yes,Watching Lecture Videos,Watching Lecture Videos,Yes,Yes,Yes - Positively Affected,No,Above Rs. 2000,Farmer,Educated,Science,Rural,English,No
50,Female,Science,Rural,Reference Books,Once in a month,To borrow library material,s Less than an hour,To get the knowledge and,Home,Evening,English,Stories and novels,Enjoyable,Hard copy of Reading ma,Yes,Reading books in library a,Reading soft copy of boo k,Yes,No,Yes - Positively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No
51,Female,Science,Rural,Lecture Videos,Once in a week,To borrow library material,s 2-4 hours,To get the knowledge and,Home,Morning,English,Stories and novels,Enjoyable,Hard copy of Reading ma,Yes,Reading books in library a,Reading soft copy of boo k,Yes,No,Yes - Positively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
52,Female,Science,Urban,Class Notes,Once in a month,For Reading Novels and,g Less than an hour,To get the knowledge and,Home,Late Night,English,Reference books,Enjoyable,Hard copy of Reading ma,No,Reading books in library a,Reading soft copy of boo k,Yes,Yes,No - Not Affected,Yes,Less Than Rs. 500,Job,Educated,Science,Rural,English,No
53,Female,Science,Rural,Text Books,Once in a week,For Reading Novels and,g 2-4 hours,To be well informed,Home,Late Night,English,Reference books,Very much,soft copy of Reading mat e,Yes,Watching Lecture Videos,Watching Lecture Videos,Yes,Yes,Yes - Positively Affected,Yes,Rs. 500 to Rs. 2000,Business,Educated,Science,Rural,English,No
54,Female,Science,Rural,Lecture Videos,Once in a week,To photo copy reading m,a Less than an hour,To get the knowledge and,Class Room,Morning,Marathi,Stories and novels,Enjoyable,Hard copy of Reading ma,Yes,Watching Lecture Videos,Reading soft copy of boo k,Yes,Yes,Yes- Negatively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No
55,Female,Science,Rural,Class Notes,Once in a month,To borrow library material,s Less than an hour,To get the knowledge and,Central Library,Morning,English,Reference books,Enjoyable,soft copy of Reading mat e,Yes,Reading books in library a,Reading soft copy of boo k,Yes,Yes,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
56,Female,Science,Rural,Class Notes,Once in a month,For Reading Novels and,s Less than an hour,To get the knowledge and,Central Library,Morning,English,Reference books,Enjoyable,Academic Videos,Yes,Watching Lecture Videos,Reading soft copy of boo k,Yes,Yes,Yes - Positively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
57,Female,Commerce,Urban,Class Notes,Once in a week,To photo copy reading m,a Less than an hour,To get the knowledge and,Central Library,Late Night,English,Competitive books,Enjoyable,Hard copy of Reading ma,No,Watching Lecture Videos,Watching Lecture Videos,Yes,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
58,Male,Commerce,Urban,Other,2-3 times in a week,To Complete Assignment,Less than an hour,For career development,Home,Morning,Marathi,New paper,Enjoyable,Hard copy of Reading ma,No,Reading soft copy of boo k,a,Yes,Yes,No - Not Affected,No,Rs. 500 to Rs. 2000,Job,Educated,Science,Rural,English,No
59,Female,Arts,Rural,Other,Rarely,For Reading Novels and,g Less than an hour,To get the knowledge and,Home,Morning,Marathi,Stories and novels,Very much,Hard copy of Reading ma,Yes,Reading soft copy of boo k,Reading soft copy of boo k,Yes,No,Yes - Positively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
60,Female,Commerce,Rural,Text Books,Rarely,For Reading Novels and,s Less than an hour,For career development,Home,Morning,English,Others,Enjoyable,Hard copy of Reading ma,Yes,a,Watching Lecture Videos,No,No,Yes - Positively Affected,No,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
61,Female,Science,Urban,Class Notes,Once in a week,For Reading Novels and,g Less than an hour,For career development,Home,Morning,English,New paper,Very much,Hard copy of Reading ma,Yes,Reading soft copy of boo k,Reading soft copy of boo k,No,No,Yes - Positively Affected,Yes,Less Than Rs. 500,Worker,Educated,Science,Rural,English,No
62,Female,Commerce,Rural,Class Notes,Rarely,For Reading Novels and,g 2-4 hours,For career development,Central Library,Afternoon,English,Stories and novels,Enjoyable,Hard copy of Reading ma,Yes,a,Watching Lecture Videos,No,No,Yes - Positively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No
63,Female,Science,Rural,Text Books,Once in a week,For Reading Novels and,s Less than an hour,To get the knowledge and,Home,Morning,English,Stories and novels,Enjoyable,Hard copy of Reading ma,No,a,Reading soft copy of boo k,Yes,Yes,No - Not Affected,Yes,Less Than Rs. 500,Job,Educated,Science,Rural,English,No
64,Female,Science,Urban,Reference Books,Rarely,Reference books,Less than an hour,To get the knowledge and,Home,Late Night,English,Stories and novels,Very much,Hard copy of Reading ma,Yes,a,Reading soft copy of boo k,Yes,Yes,Yes - Positively Affected,Yes,Rs. 500 to Rs. 2000,Job,Educated,Science,Rural,English,No
65,Female,Commerce,Urban,Class Notes,2-3 times in a week,For Reading Novels and,s 2-4 hours,To get the knowledge and,Central Library,Evening,English,Competitive books,Very much,Academic Videos,Yes,a,Reading soft copy of boo k,No,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
66,Male,Arts,Urban,Text Books,Rarely,To use the internet,Less than an hour,To increase General Kno,w Home,Morning,Hindi,Competitive books,Enjoyable,soft copy of Reading mat,Yes,Reading soft copy of boo k,a,Yes,Yes,No - Not Affected,No,Less Than Rs. 500,Farmer,Un-Educated,Science,Rural,English,No
67,Female,Science,Urban,Class Notes,Rarely,For Reading Novels and,g Less than an hour,To increase General Kno,w Other places,Late Night,English,Reference books,Just okay,Hard copy of Reading ma,No,Reading soft copy of boo k,Reading soft copy of boo k,Yes,No,No - Not Affected,No,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No
68,Male,other,Urban,Reference Books,Once in a week,To read Daily News pape,Less than an hour,To increase General Kno,w Home,Late Night,Marathi,New paper,Just okay,Hard copy of Reading ma,No,Reading soft copy of boo k,a,Yes,No,No - Not Affected,Yes,Less Than Rs. 500,Job,Educated,Science,Rural,English,No
69,Female,Science,Rural,Reference Books,Daily,For Reading Novels and,s Less than an hour,To get the knowledge and,Central Library,Morning,English,Reference books,Enjoyable,Academic Videos,Yes,a,a,Yes,No,No - Not Affected,Yes,Less Than Rs. 500,Business,Educated,Science,Rural,English,No
70,Male,Science,Rural,Text Books,2-3 times in a week,For Reading Novels and,g 2-4 hours,To get the knowledge and,Class Room,Morning,English,New paper,Very much,soft copy of Reading mat,Yes,Watching Lecture Videos,a,Yes,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Business,Educated,Science,Rural,English,No
71,Female,Science,Rural,Reference Books,Daily,For Reading Novels and,s 2-4 hours,To get the knowledge and,Central Library,Morning,English,Reference books,Very much,Academic Videos,Yes,a,Watching Lecture Videos,Yes,Yes,Yes - Positively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No
72,Male,Arts,Urban,Text Books,2-3 times in a week,For Reading Novels and,g 6 and Above,To increase General Kno,w Home,Morning,Marathi,New paper,Very much,soft copy of Reading mat,Yes,a,Reading soft copy of boo k,No,No,Yes - Positively Affected,No,Above Rs. 2000,Business,Educated,Science,Rural,English,No
73,Female,Science,Rural,Reference Books,Once in a month,To read Daily News pape,Less than an hour,To increase General Kno,w Class Room,Evening,English,New paper,Very much,Hard copy of Reading ma,Yes,Reading soft copy of boo k,Reading soft copy of boo k,Yes,Yes,Yes- Negatively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No
74,Female,Science,Urban,Class Notes,Once in a month,For Reading Novels and,g Less than an hour,To get the knowledge and,Home,Evening,Marathi,Text books,Very much,Hard copy of Reading ma,No,a,Reading soft copy of boo k,No,No,No - Not Affected,No,Less Than Rs. 500,Job,Educated,Science,Rural,English,No
75,Male,Science,Rural,Class Notes,2-3 times in a week,To borrow library material,s 2-4 hours,To pass the examination,College lab,Evening,English,New paper,Very much,Hard copy of Reading ma,No,Reading books in library a,Reading soft copy of boo k,No,Yes,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
76,Male,Science,Rural,Class Notes,Once in a month,To read Daily News pape r,Less than an hour,To get the knowledge and,Home,Morning,English,New paper,Enjoyable,Hard copy of Reading ma,Yes,Reading soft copy of boo k,Reading books in library a,Yes,Yes,Yes - Positively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
77,Female,Science,Urban,Class Notes,Rarely,To Complete Assignment,Less than an hour,To get the knowledge and,Home,Morning,English,Stories and novels,Enjoyable,Hard copy of Reading ma,Yes,Reading books in library a,Reading soft copy of boo k,Yes,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No
78,Female,Science,Rural,Class Notes,Once in a week,For Reading Novels and,g Less than an hour,To get the knowledge and,Home,Afternoon,Marathi,Stories and novels,Enjoyable,Hard copy of Reading ma,No,Reading books in library a,Watching Lecture Videos,No,No,Yes - Positively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No
79,Male,Science,Rural,Class Notes,Once in a week,For Reading Novels and,g Less than an hour,To get the knowledge and,Other places,Evening,English,Reference books,Enjoyable,Academic Videos,Yes,Watching Lecture Videos,Watching Lecture Videos,Yes,Yes,Yes - Positively Affected,No,Less Than Rs. 500,Farmer,Un-Educated,Science,Rural,English,No
80,Female,Science,Rural,Text Books,Rarely,For Reading Novels and,g 2-4 hours,To get the knowledge and,Home,Late Night,Marathi,Competitive books,Enjoyable,Hard copy of Reading ma,Yes,Reading books in library a,Reading soft copy of boo k,No,No,Yes- Negatively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
81,Male,Science,Rural,Class Notes,Rarely,For Reading Novels and,g Less than an hour,To get the knowledge and,Home,Evening,English,Reference books,Enjoyable,Hard copy of Reading ma,No,Reading books in library a,Reading books in library a,No,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No
82,Female,Science,Rural,Class Notes,Rarely,For Reading Novels and,g Less than an hour,To increase General Kno,w Home,Morning,English,Stories and novels,Very much,Hard copy of Reading ma,Yes,Reading books in library a,Reading soft copy of boo k,No,No,Yes- Negatively Affected,Yes,Less Than Rs. 500,Worker,Educated,Science,Rural,English,No
83,Male,Science,Urban,Reference Books,Once in a week,To Complete Assignment,Less than an hour,To get the knowledge and,Other places,Late Night,English,Magazines,Enjoyable,Academic Videos,No,Watching Lecture Videos,Reading soft copy of boo k,Yes,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No
84,Female,other,Urban,Class Notes,Once in a week,For Reading Novels and,g 2-4 hours,To get the knowledge and,College lab,Evening,English,Reference books,Enjoyable,soft copy of Reading mat e,Yes,Reading soft copy of boo k,Reading soft copy of boo k,No,No,Yes - Positively Affected,Yes,Rs. 500 to Rs. 2000,Job,Educated,Science,Rural,English,No
